I (A),Äas (s),P [W]
I,t,P
0,0.375,0
4.147,0.75,49.764
3.966,1.125,47.592
3.889,1.5,46.668
3.74,1.875,44.88
3.534,2.25,42.408
3.311,2.625,39.732
3.164,3,37.968
3.012,3.375,36.144
2.876,3.75,34.512
2.779,4.125,33.348
2.624,4.5,31.488
2.553,4.875,30.636
2.422,5.25,29.064
2.363,5.625,28.356
2.266,6,27.192
2.154,6.375,25.848
2.124,6.75,25.488
2.026,7.125,24.312
1.945,7.5,23.34
1.921,7.875,23.052
1.858,8.25,22.296
1.787,8.625,21.444
1.718,9,20.616
1.658,9.375,19.896
1.588,9.75,19.056
1.588,10.125,19.056
1.513,10.5,18.156
1.424,10.875,17.088
1.434,11.25,17.208
1.379,11.625,16.548
1.321,12,15.852
1.28,12.375,15.36
1.253,12.75,15.036
1.238,13.125,14.856
1.199,13.5,14.388
1.166,13.875,13.992
1.091,14.25,13.092
1.069,14.625,12.828
1.087,15,13.044
1.048,15.375,12.576
1.036,15.75,12.432
1.008,16.125,12.096
0.961,16.5,11.532
0.962,16.875,11.544
0.948,17.25,11.376
0.916,17.625,10.992
0.896,18,10.752
0.897,18.375,10.764
0.876,18.75,10.512
0.854,19.125,10.248
0.805,19.5,9.66
0.861,19.875,10.332
0.827,20.25,9.924
0.788,20.625,9.456
0.766,21,9.192
0.759,21.375,9.108
0.744,21.75,8.928
0.747,22.125,8.964
0.751,22.5,9.012
0.759,22.875,9.108
0.748,23.25,8.976
0.75,23.625,9
0.781,24,9.372
0.726,24.375,8.712
0.737,24.75,8.844
0.736,25.125,8.832
0.688,25.5,8.256
0.725,25.875,8.7
0.725,26.25,8.7
0.727,26.625,8.724
0.726,27,8.712
0.706,27.375,8.472
0.709,27.75,8.508
0.708,28.125,8.496
0.683,28.5,8.196
0.738,28.875,8.856
0.709,29.25,8.508
0.688,29.625,8.256